"REF_DATE","GEO","DGUID","Distribution","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016-02","New Brunswick","2016A000213","Deliveries to industrial consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028688","3.1.3","1114.0","","","","1"
"2016-02","New Brunswick","2016A000213","Deliveries to industrial consumers","Customers","Customers","76","units","0","v1062314466","3.1.4","11","","","","0"
"2016-02","New Brunswick","2016A000213","Deliveries to commercial and institutional consumers","Cubic metres","Cubic metres","72","thousands","3","v107028689","3.2.1","9419.0","","","","1"
"2016-02","New Brunswick","2016A000213","Deliveries to commercial and institutional consumers","Gigajoules","Gigajoules","143","thousands","3","v107028690","3.2.2","368.0","","","","1"
"2016-02","New Brunswick","2016A000213","Deliveries to commercial and institutional consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028691","3.2.3","3875.0","","","","1"
"2016-02","New Brunswick","2016A000213","Deliveries to commercial and institutional consumers","Customers","Customers","76","units","0","v1062314467","3.2.4","3635","","","","0"
"2016-02","New Brunswick","2016A000213","Deliveries to residential consumers","Cubic metres","Cubic metres","72","thousands","3","v107028692","3.3.1","2186.0","","","","1"
"2016-02","New Brunswick","2016A000213","Deliveries to residential consumers","Gigajoules","Gigajoules","143","thousands","3","v107028693","3.3.2","85.4","","","","1"
"2016-02","New Brunswick","2016A000213","Deliveries to residential consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028694","3.3.3","877.0","","","","1"
"2016-02","New Brunswick","2016A000213","Deliveries to residential consumers","Customers","Customers","76","units","0","v1062314468","3.3.4","8195","","","","0"
"2016-02","Quebec","2016A000224","Deliveries to industrial consumers","Cubic metres","Cubic metres","72","thousands","3","v107028695","4.1.1","289297.0","","","","1"
"2016-02","Quebec","2016A000224","Deliveries to industrial consumers","Gigajoules","Gigajoules","143","thousands","3","v107028696","4.1.2","10964.6","","","","1"
"2016-02","Quebec","2016A000224","Deliveries to industrial consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028697","4.1.3","46951.0","","","","1"
